Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.008389833332,-0.2427388255,0.0829161492,-0.2498754984,0.3580991342
0.01838983333,-0.06744156606,0.2728565177,-0.3082155079,0.4171280899
0.02838983333,-0.01582380809,0.2303558846,-0.3068267941,0.3840011824
0.03838883333,0.07617197067,0.2169318469,-0.3557229656,0.4235568717
0.04838883333,0.06179469064,0.1981864044,-0.3827540588,0.435427496
0.05838883333,-0.001510847434,0.2000833873,-0.3258489561,0.3823783293
0.06838783333,-0.04970725335,0.179628219,-0.2553362131,0.316122903
0.07838783333,-0.004132885113,0.1547120637,-0.3260582864,0.3609250747
0.08838783333,0.05330508169,0.1394867912,-0.5243426317,0.5451909684
0.09838683334,0.1591235686,0.1677620257,-0.7642234844,0.7984371869
0.1083868333,0.2740513232,0.2505027585,-1.019183137,1.084707346
0.1183868333,0.3660418394,0.312081833,-1.266161925,1.354454768
0.1283858333,0.4593058062,0.4610383362,-1.525885888,1.658868866
0.1383858333,0.5378304771,0.5316130596,-1.907230768,2.051683034
0.1483858333,0.5444487944,0.4731385642,-2.215863183,2.330307755
0.1583848333,0.5878444169,0.5159289269,-2.038640508,2.183528987
0.1683848333,0.5290809229,0.5036186376,-1.516837322,1.683553925
0.1783848333,0.9802615113,0.5488649771,-0.8331212264,1.398662351
0.1883838333,1.423953278,0.7485092385,0.1585045677,1.616487772
0.1983838333,1.364230841,0.8637540583,1.716275908,2.356437958
0.2083828333,0.8313395798,1.081508901,3.38309665,3.647756837
0.2183828333,0.2997424538,1.462571653,4.642488084,4.876644029
0.2283828333,-0.3405924546,1.731365232,5.606437252,5.877564755
0.2383818333,-1.091724571,1.821538507,6.102326163,6.461288546
0.2483818333,-1.751383614,1.93630941,6.450794488,6.959122662
0.2583818333,-1.866291926,1.92928018,6.857529148,7.364161431
0.2683808333,-1.689453268,1.813411608,7.241377805,7.653774659
0.278379875,-1.429026615,1.713936437,8.02032224,8.324978319
0.288379875,-1.205124521,1.401203955,8.397499225,8.598470263
0.298378875,-0.8649495947,1.030943642,8.541515561,8.646876354
0.308378875,-0.6204666909,0.8420218581,8.370068766,8.435166322
0.318378875,-0.364878609,0.4267365226,7.962804934,7.982574953
0.328377875,-0.05482655918,0.09677185759,7.58872288,7.589537911
0.338377875,0.3802543376,-0.221593101,7.006551286,7.020360232
0.348377875,0.6185382792,-0.3972769345,6.127716528,6.171655241
0.358376875,0.6524201895,-0.5562770538,5.114760675,5.186123121
0.368376875,0.7684958256,-0.5294960752,4.150905063,4.25452286
0.378376875,1.01041224,-0.8124549736,3.569462031,3.797640737
0.388375875,0.9287244449,-1.335615591,3.246751276,3.631499958
0.398375875,0.8606716986,-2.004688358,3.230741014,3.898361026
0.408375875,0.6275137552,-2.659496112,3.153475907,4.172661426
0.418374875,0.5550428162,-2.834595078,3.428938236,4.483371411
